id,name,bio,birth_date,death_date,links,author_photo
56,"Clive Cussler","Cussler began writing novels in 1965 and published his first work featuring his continuous series hero, Dirk Pitt, in 1973. His first non-fiction, The Sea Hunters, was released in 1996. The Board of Governors of the Maritime College, State University of New York, considered The Sea Hunters in lieu of a Ph.D. thesis and awarded Cussler a Doctor of Letters degree in May, 1997. It was the first time since the College was founded in 1874 that such a degree was bestowed. 

Cussler is an internationally recognized authority on shipwrecks and the founder of the National Underwater and Marine Agency, (NUMA) a 501C3 non-profit organization (named after the fictional Federal agency in his novels) that dedicates itself to preserving American maritime and naval history. He and his crew of marine experts and NUMA volunteers have discovered more than 60 historically significant underwater wreck sites including the first submarine to sink a ship in battle, the Confederacy's Hunley, and its victim, the Union's Housatonic; the U-20, the U-boat that sank the Lusitania; the Cumberland, which was sunk by the famous ironclad, Merrimack; the renowned Confederate raider Florida; the Navy airship, Akron, the Republic of Texas Navy warship, Zavala, found under a parking lot in Galveston, and the Carpathia, which sank almost six years to-the-day after plucking Titanic's survivors from the sea. 

In September, 1998, NUMA - which turns over all artifacts to state and Federal authorities, or donates them to museums and universities - launched its own web site for those wishing more information about maritime history or wishing to make donations to the organization. (www.numa.net). 

In addition to being the Chairman of NUMA, Cussler is also a fellow in both the Explorers Club of New York and the Royal Geographic Society in London. He has been honored with the Lowell Thomas Award for outstanding underwater exploration. 

Cussler's books have been published in more than 40 languages in more than 100 countries. His past international bestsellers include Pacific Vortex, Mediterranean Caper, Iceberg, Raise the Titanic, Vixen 03, Night Probe, Deep Six, Cyclops, Treasure, Dragon, Sahara, Inca Gold, Shock Wave, Flood Tide, Atlantis Found, Valhalla Rising, Trojan Odyssey and Black Wind (this last with his son, Dirk Cussler); the nonfiction books The Sea Hunters, The Sea Hunters II and Clive Cussler and Dirk Pitt r Revealed; the NUMA® Files novels Serpent, Blue Gold, Fire Ice, White Death and Lost City (written with Paul Kemprecos); and the Oregon Files novels Sacred Stone and Golden Buddha (written with Craig Dirgo) and Dark Watch (written with Jack Du Brul). 

Taken From Good Reads
https://www.goodreads.com/author/show/18411.Clive_Cussler",1931-07-15,2020-02-24,"[{""title"": ""Wikipedia"", ""url"": ""http://en.wikipedia.org/wiki/Clive_Cussler"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/b/b6/Clive_Cussler_NUMA.jpg
57,"Virginia Woolf","Virginia Woolf  was an English novelist, essayist, diarist, epistler, publisher, feminist, and writer of short stories, regarded as one of the foremost modernist literary  figures of the twentieth century. ([Source][1].)

[Comment from Ursula Le Guin on The Guardian][2]:

> You can't write science fiction well if you haven't read it, though not all who try to write it know this. But nor can you write it well if you haven't read anything else. Genre is a rich dialect, in which you can say certain things in a particularly satisfying way, but if it gives up connection with the general literary language it becomes a jargon, meaningful only to an ingroup. Useful models may be found quite outside the genre. I learned a lot from reading the ever-subversive Virginia Woolf.

> I was 17 when I read [Orlando][3]. It was half-revelation, half-confusion to me at that age, but one thing was clear: that she imagined a society vastly different from our own, an exotic world, and brought it dramatically alive. I'm thinking of the Elizabethan scenes, the winter when the Thames froze over. Reading, I was there, saw the bonfires blazing in the ice, felt the marvellous strangeness of that moment 500 years ago – the authentic thrill of being taken absolutely elsewhere.

> How did she do it? By precise, specific descriptive details, not heaped up and not explained: a vivid, telling imagery, highly selected, encouraging the reader's imagination to fill out the picture and see it luminous, complete.

> In [Flush][4], Woolf gets inside a dog's mind, that is, a non-human brain, an alien mentality – very science-fictional if you look at it that way. Again what I learned was the power of accurate, vivid, highly selected detail. I imagine Woolf looking down at the dog asleep beside the ratty armchair she wrote in and thinking what are your dreams? and listening . . . sniffing the wind . . . after the rabbit, out on the hills, in the dog's timeless world.

> Useful stuff, for those who like to see through eyes other than our own.


  [1]:http://en.wikipedia.org/wiki/Virginia_Woolf
  [2]: http://www.guardian.co.uk/books/2011/may/14/science-fiction-authors-choice
  [3]: http://openlibrary.org/works/OL39360W/Orlando
  [4]: http://openlibrary.org/works/OL39320W/Flush","25 January 1882","28 March 1941","""none""",https://upload.wikimedia.org/wikipedia/commons/0/0b/George_Charles_Beresford_-_Virginia_Woolf_in_1902_-_Restoration.jpg
58,"L. Frank Baum","{'type': '/type/text', 'value': ""Lyman Frank Baum was a US author, poet, playwright, actor, and independent filmmaker best known today as the creator - along with illustrator WW Denslow - of one of the most popular books in US children's literature, The Wonderful Wizard of Oz. - [Wikipedia][1]\r\n\r\n\r\n  [1]: http://en.wikipedia.org/wiki/L._Frank_Baum""}","15 May 1856","6 May 1919","[{""title"": ""Wikipedia entry"", ""url"": ""http://en.wikipedia.org/wiki/L._Frank_Baum"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/6/69/L._Frank_Baum_%281911%29.jpg
59,"Wilkie Collins","{'type': '/type/text', 'value': ""William Wilkie Collins (8 January 1824 – 23 September 1889) was an English novelist, playwright and short story writer best known for *The Woman in White* (1859) and *The Moonstone* (1868). The last has been called the first modern English detective novel. Born to the family of a painter, William Collins, in London, he grew up in Italy and France, learning French and Italian. He began work as a clerk for a tea merchant. After his first novel, Antonina, appeared in 1850, he met Charles Dickens, who became a close friend and mentor. Some of Collins's works appeared first in Dickens's journals *All the Year Round* and *Household Words* and they collaborated on drama and fiction. Collins achieved financial stability and an international following with his best known works in the 1860s, but began suffering from gout. Taking opium for the pain grew into an addiction. In the 1870s and 1880s his writing quality declined with his health. Collins was critical of the institution of marriage: he split his time between Caroline Graves and his common-law wife Martha Rudd, with whom he had three children.\r\n\r\n**Source**: [Wilkie Collins](https://en.wikipedia.org/wiki/Wilkie_Collins) on Wikipedia.""}","8 Jan 1824","23 Sep 1889","""none""",https://upload.wikimedia.org/wikipedia/commons/e/e2/Wilkie_Collins_by_Cundall%2C_Downes_%26_Co_%28cropped%29.jpg
60,"Various Authors",none,none,none,"""none""",""
61,"John Steinbeck",none,1946,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/d/d7/John_Steinbeck_1939_%28cropped%29.jpg
62,"L. M. Montgomery",none,none,none,"""none""",""
63,"Guy de Maupassant","Guy de Maupassant, né le 5 août 1850 au château de Miromesnil près de Tourville-sur-Arques (France) et mort le 6 juillet 1893 dans le 16e arrondissement de Paris, est un écrivain et journaliste littéraire français. Lié à Gustave Flaubert et à Émile Zola, Maupassant a marqué la littérature française par ses six romans, dont *Une vie* en 1883, *Bel-Ami* en 1885, *Pierre et Jean* en 1887-1888, et surtout par ses nouvelles (parfois intitulées contes) comme *Boule de Suif* en 1880, les *Contes de la bécasse* (1883) ou Le Horla (1887). Ces œuvres retiennent l’attention par leur force réaliste, la présence importante du fantastique et par le pessimisme qui s’en dégage le plus souvent, mais aussi par la maîtrise stylistique. La carrière littéraire de Maupassant se limite à une décennie — de 1880 à 1890 — avant qu’il ne sombre peu à peu dans la folie et ne meure peu avant l'âge de 43 ans. Reconnu de son vivant, il conserve un renom de premier plan, renouvelé encore par les nombreuses adaptations cinématographiques de ses œuvres.


----------


(Henry René Albert) Guy De Maupassant is generally considered to be the greatest French writer of short stories. One account says the location of his birth was the Château de Miromesnil, in Dieppe, though this is not certain. His paternal ancestors were of the minor aristocracy, and his maternal grandfather, Paul Le Poittevin, was Gustave Flaubert's godfather. His parents separated when he was 11 years old. 

Maupassant was gifted with a photographic memory, which aided him in recollecting events and characters for his stories. As a teenager, Maupassant was shown, by the poet Algernon Swinburne (1837-1909), a mummified hand. He used this haunting image in his early short story La Main Ecorchée (1875). In 1869 Maupassant started to study law in Paris, but soon, at age 20, he volunteered to serve in the army during Franco-Prussian War. After his return to Paris, Maupassant joined the literary circle of Gustave Flaubert, who introduced him to some of the leading writers of his day, including Emile Zola, Ivan Turgenev, and Henry James. Flaubert saw Maupassant regularly and schooled him in the craft of being a writer. 

From 1872 to 1880, Maupassant worked as a civil servant, first at the ministry of maritime affairs, then at the ministry of education. Toward the end of this time, Maupassant published his first poetry, Des Vers (1880). Later the same year he published his short story masterpiece, ""Boule de Suif"" (Ball of Fat) in the anthology Soirées de Medan (1880), edited by Emile Zola. The story, set during the Franco-Prussian War, is about passengers on a coach, one of whom is a well-known prostitute, nicknamed 'Boule de Suif.' The story later inspired director John Ford's Western film Stagecoach (1945). 

During the 1880s Maupassant created some 300 short stories, six novels, three travel books, and one volume of verse. In tone, his tales were marked by precision of style and a range of expression. Although his stories range from moving drama to sometimes bizarre comedy, it is his macabre horror stories that have received much attention. 

Among Maupassant's best known books is Une Vie (A Woman's Life, 1883), about the frustrating existence of a Norman wife, Bel-Ami (1885), which depicts an unscrupulous journalist. Pierre et Jean (1888) was a psychological study of two brothers. The novel was thought to be immoral, according to the classic definition, because the hero succeeds by doing wrong. Maupassant's most upsetting horror story, ""Le Horla"" (1887) (not to be confused with another of Maupassant's stories called ""The Trip of Le Horla"", which is about a hot air balloon), was about vampire-like ghouls, madness and suicide. 

Maupassant had suffered from syphilis since his 20's, which caused him neurological and mental problem in his later years, and which undoubtedly accounts for his shortened lifespan. Some critics have alleged that Maupassant's developing illness can be seen through a growing preocuppation with mental illness in his stories. However, the theme of mental illness is present even in his first collection, La Maison Tellier (1881), published at the height of his health. Maupassant's horror fiction consists of some 39 stories, only a tenth of his total work. A recurring theme in these is madness: ""A Queer Night in Paris"" is a paranoid nightmare: its narrator feels compelled to walk the streets. In ""Who Knows?"" the subject suffers from delusions about the furniture in his house. ""Diary of a Madman"" is a story about a judge, who commits murder, just for the experience, and condemns an innocent man to death for the crime. ""The Inn"" has many similarities with Stephen King's novel The Shining. His story, ""The Hand,"" based on his teenage recollection, has inspired later authors and movie directors. Maupassant's writing is sometimes compared with that of Edgar Allen Poe. 

On January 2, 1892, Maupassant tried to commit suicide by cutting his throat and was committed to the celebrated private asylum of Dr. Esprit Blanche at Passy, in Paris, where he died next year. Maupassant's style has been imitated by countless writers, and his influence can be seen on such masters of the short story as W. Somerset Maugham and O. Henry.

[Source][1]


  [1]: http://www.classicallibrary.org/maupassant/index.htm","5 Aug 1850","2 Mar 1893","[{""title"": ""Wikipedia deutsch"", ""url"": ""http://de.wikipedia.org/wiki/Maupassant"", ""type"": {""key"": ""/type/link""}}, {""title"": ""Gutenberg DE e-texte"", ""url"": ""http://gutenberg.spiegel.de/index.php?id=19&autorid=401&autor_vorname=+Guy+de&autor_nachname=Maupassant&cHash=b31bbae2c6"", ""type"": {""key"": ""/type/link""}}, {""title"": ""Gutenberg.org e-texts"", ""url"": ""http://www.gutenberg.org/browse/authors/m#a306"", ""type"": {""key"": ""/type/link""}}, {""title"": ""LibriVox audio books"", ""url"": ""http://librivox.org/newcatalog/search.php?title=&author=Maupassant&status=complete&action=Search"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/8/81/Maupassant_par_Nadar.jpg
64,"Marion Zimmer Bradley","Marion Zimmer was born on a farm in Albany, New York, during the Great Depression.  As a child, she enjoyed reading adventure fantasy stories.  She began writing them herself in 1949 and sold her first story to Vortex in 1952.  She also married Robert Alden Bradley in 1949.  Early in her career, she used pseudonyms for stories she wrote outside the speculative fiction genre, including some gay and lesbian pulp fiction novels such as I Am a Lesbian (1962).  In 1964 she divorced her first husband and married numismatist Walter H. Breen.  In 1965 she received her B.A. degree from Hardin-Simmons University in Abilene, Texas.  She then moved to Berkeley, California, to pursue graduate studies at the University of California, Berkeley.  In 1966, she co-founded the Society for Creative Anachronism.  In 1967 she moved to Staten Island, New York.  She separated from her second husband in 1979 but remained married and continued a business relationship, until 1990 when he was arrested on child molestation charges and they divorced.  After suffering declining health for years, she died in Berkeley in 1999.  In 2000, she was awarded the World Fantasy Award for lifetime achievement.","3 June 1930","25 September 1999","[{""title"": ""Website"", ""url"": ""http://www.mzbfm.com"", ""type"": {""key"": ""/type/link""}}]",""
65,"Roma Tearne",none,none,none,"""none""",""
66,"Tobias S. Buckell",none,none,none,"""none""",""
67,"Patrick Gale",none,1962,none,"""none""",""
68,"Carlo Collodi","{'type': '/type/text', 'value': 'Carlo Collodi was a pseudonym of Carlo Lorenzini'}",1826,1890,"""none""",https://upload.wikimedia.org/wikipedia/commons/6/60/Carlo_Collodi.jpg
69,"Lisa Wingate",none,none,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/3/3f/D03_9513_Lisa_Wingate.jpg
70,"Philip K. Dick","Philip K. Dick was born in Chicago in 1928 and lived most of his life in California. In 1952, he began writing professionally and proceeded to write numerous novels and short-story collections. He won the Hugo Award for the best novel in 1962 for The Man in the High Castle and the John W. Campbell Memorial Award for best novel of the year in 1974 for Flow My Tears, the Policeman Said. Philip K. Dick died on March 2, 1982, in Santa Ana, California, of heart failure following a stroke.

In addition to 44 published novels, Dick wrote approximately 121 short stories, most of which appeared in science fiction magazines during his lifetime. Although Dick spent most of his career as a writer in near-poverty, ten of his stories have been adapted into popular films since his death, including Blade Runner, Total Recall, A Scanner Darkly, Minority Report, Paycheck, Next, Screamers, and The Adjustment Bureau. In 2005, Time magazine named Ubik one of the one hundred greatest English-language novels published since 1923. In 2007, Dick became the first science fiction writer to be included in The Library of America series. 
","16 December 1928","2 March 1982","""none""",https://upload.wikimedia.org/wikipedia/commons/2/24/Philip_K_Dick_in_early_1960s_Arthur_Knight_%283x4_cropped%29.jpg
71,"Jane Austen","{'type': '/type/text', 'value': 'Jane Austen was an English writer. Although Austen was widely read in her lifetime, she published her works anonymously. The most urgent preoccupations of her bright, young heroines are courtship and marriage. Austen herself never married. Her best-known books include *Pride and Prejudice* (1813) and *Emma* (1816). Virginia Woolf called Austen ""the most perfect artist among women.'}","December 16, 1775","July 18, 1817","[{""title"": ""Jane Austen's Fiction Manuscripts"", ""url"": ""http://www.janeausten.ac.uk/manuscripts/index.html"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/c/cc/CassandraAusten-JaneAusten%28c.1810%29_hires.jpg
72,"Oscar Wilde","An Irish writer, poet, and prominent aesthete.

Oscar Fingal O'Flahertie Wills Wilde was an Irish playwright, poet, and author of numerous short stories, and one novel. Known for his biting wit, and a plentitude of aphorisms, he became one of the most successful playwrights of the late Victorian era in London, and one of the greatest celebrities of his day. Several of his plays continue to be widely performed, especially The Importance of Being Earnest.

As the result of a widely covered series of trials, Wilde suffered a dramatic downfall and was imprisoned for two years hard labour after being convicted of ""gross indecency"" with other men. After Wilde was released from prison he set sail for Dieppe by the night ferry. He never returned to Ireland or Britain, and died in poverty.","16 October 1854","30 November 1900","[{""title"": ""Wikipedia entry"", ""url"": ""http://en.wikipedia.org/wiki/Oscar_Wilde"", ""type"": {""key"": ""/type/link""}}, {""title"": ""Oscar Wilde Quotations"", ""url"": ""http://izquotes.com/author/oscar-wilde"", ""type"": {""key"": ""/type/link""}}, {""title"": ""Jardin des citations"", ""url"": ""https://jardindescitations.com/auteurs/@oscarWilde"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/4/44/Oscar_Wilde_by_Napoleon_Sarony._Three-quarter-length_photograph%2C_seated.jpg
73,"Ray Bradbury","Ray Bradbury is one of those rare individuals whose writing has changed the way people think. His more than five hundred published works -- short stories, novels, plays, screenplays, television scripts, and verse -- exemplify the American imagination at its most creative. 

Once read, his words are never forgotten. His best-known and most beloved books, *The Martian Chronicles*, *The Illustrated Man*, *Fahrenheit 451* and *Something Wicked This Way Comes*, are masterworks that readers carry with them over a lifetime. His timeless, constant appeal to audiences young and old has proven him to be one of the truly classic authors of the 20th Century -- and the 21st. 

In recognition of his stature in the world of literature and the impact he has had on so many for so many years, Bradbury was awarded the National Book Foundation's 2000 Medal for Distinguished Contribution to American Letters, an the National Medal of Arts in 2004. 

([Source][1])


  [1]: http://www.raybradbury.com/about.html","22 August 1920","5 June 2012","[{""url"": ""http://www.raybradbury.com/"", ""title"": ""RayBradbury.com"", ""type"": {""key"": ""/type/link""}}, {""url"": ""https://en.wikipedia.org/wiki/Ray_Bradbury"", ""title"": ""Wikipedia EN"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/6/69/Ray_Bradbury_%281975%29_-cropped-.jpg
74,"Peter Straub","{'type': '/type/text', 'value': ""Peter Straub was born in Milwaukee, Wisconsin on 2 March, 1943, the first of three sons of a salesman and a nurse. The salesman wanted him to become an athlete, the nurse thought he would do well as either a doctor or a Lutheran minister, but all he wanted to do was to learn to read.\r\n\r\nWhen kindergarten turned out to be a stupefyingly banal disappointment devoted to cutting animal shapes out of heavy colored paper, he took matters into his own hands and taught himself to read by memorizing his comic books and reciting them over and over to other neighborhood children on the front steps until he could recognize the words. Therefore, when he finally got to first grade to find everyone else laboring over the imbecile adventures of Dick, Jane and Spot (“See Spot run. See, see, see,”), he ransacked the library in search of pirates, soldiers, detectives, spies, criminals, and other colorful souls, Soon he had earned a reputation as an ace storyteller, in demand around campfires and in back yards on summer evenings.\r\n\r\nThis career as the John Buchan to the first grade was interrupted by a collision between himself and an automobile which resulted in a classic near-death experience, many broken bones, surgical operations, a year out of school, a lengthy tenure in a wheelchair, and certain emotional quirks. Once back on his feet, he quickly acquired a severe stutter which plagued him into his twenties and now and then still puts in a nostalgic appearance, usually to the amusement of telephone operators and shop clerks. Because he had learned prematurely that the world was dangerous, he was jumpy, restless, hugely garrulous in spite of his stutter, physically uncomfortable and, at least until he began writing horror three decades later, prone to nightmares. Books took him out of himself, so he read even more than earlier, a youthful habit immeasurably valuable to any writer. And his storytelling, for in spite of everything he was still a sociable child with a lot of friends, took a turn toward the dark and the garish, toward the ghoulish and the violent. He found his first “effect” when he discovered that he could make this kind of thing funny.\r\n\r\nAs if scripted, the rest of life followed. He went on scholarship to Milwaukee Country Day School and was the darling of his English teachers. He discovered Thomas Wolfe and Jack Kerouac, patron saints of wounded and self-conscious adolescence, and also, blessedly, jazz music, which spoke of utterance beyond any constraint: passion and liberation in the form of speech on the far side of the verbal border. The alto saxophone player Paul Desmond, speaking in the voice of a witty and inspired angel, epitomized ideal expressiveness, Our boy still had no idea why inspired speech spoke best when it spoke in code, the simultaneous terror and ecstasy of his ancient trauma, as well as its lifelong (so far, anyhow) legacy of anger, being so deeply embedded in the self as to be imperceptible, Did he behave badly, now and then? Did he wish to shock, annoy, disturb, and provoke? Are you kidding? Did he also wish to excel, to keep panic and uncertainty at arm's length by good old main force effort? Make a guess. So here we have a pure but unsteady case of denial happily able to maintain itself through merciless effort. Booted along by invisible fears and horrors, this fellow was rewarded by wonderful grades and a vague sense of a mysterious but transcendent wholeness available through expression. He went to the University of Wisconsin and, after opening his eyes to the various joys of Henry James, William Carlos Williams, and the Texas blues-rocker Steve Miller, a great & joyous character who lived across the street, passed through essentially unchanged to emerge in 1965 with an honors degree in English, then an MA at Columbia a year later. He thought actual writing was probably beyond him even though actual writing was probably what he was best at - down crammed he many and many a book, stirred by""}","2 Mar 1943",none,"[{""url"": ""http://peterstraub.net"", ""type"": {""key"": ""/type/link""}, ""title"": ""peterstraub.net""}]",https://upload.wikimedia.org/wikipedia/commons/3/38/Peter_Straub.jpg
75,"Henry Rider Haggard",none,none,none,"""none""",""
76,"Matt Haig",none,1975,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/b/bb/Matt_Haig_at_the_2024_Edinburgh_International_Book_Festival_%28cropped%29.jpg
77,Voltaire,"François-Marie Arouet, better known by the pen name Voltaire, was a French Enlightenment writer and philosopher famous for his wit and for his advocacy of civil liberties, including freedom of religion and free trade. Voltaire was a prolific writer and produced works in almost every literary form including plays, poetry, novels, essays, historical and scientific works, more than 20,000 letters and more than 2,000 books and pamphlets. He was an outspoken supporter of social reform, despite strict censorship laws and harsh penalties for those who broke them. As a satirical polemicist, he frequently made use of his works to criticize intolerance, religious dogma and the French institutions of his day.

Voltaire was one of several Enlightenment figures (along with Montesquieu, John Locke and Jean-Jacques Rousseau) whose works and ideas influenced important thinkers of both the American and French Revolutions. ([Source][1])


  [1]: http://en.wikipedia.org/wiki/Voltaire","21 November 1694","30 May 1778","[{""url"": ""https://en.wikipedia.org/wiki/Voltaire"", ""title"": ""Wikipedia"", ""type"": {""key"": ""/type/link""}}, {""url"": ""https://inventaire.io/entity/wd:Q9068"", ""title"": ""inventaire.io"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/4/40/Atelier_de_Nicolas_de_Largilli%C3%A8re%2C_portrait_de_Voltaire%2C_d%C3%A9tail_%28mus%C3%A9e_Carnavalet%29_-001.jpg
78,"Jason Reynolds",none,none,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/0/08/Jason_Reynolds_%2849395922668%29.jpg
79,"Pu Songling",none,1640,1715,"[{""url"": ""https://viaf.org/viaf/9852245"", ""type"": {""key"": ""/type/link""}, ""title"": ""VIAF""}, {""url"": ""http://isni.org/isni/0000000121201192"", ""type"": {""key"": ""/type/link""}, ""title"": ""ISNI""}, {""url"": ""http://www.wikidata.org/entity/Q318406"", ""type"": {""key"": ""/type/link""}, ""title"": ""Wikidata""}]",https://upload.wikimedia.org/wikipedia/commons/a/a9/Pu_Songling.jpg
80,"Monica Ali",none,1967,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/7/7e/Monica_ali_2023_1.jpg
81,"Upton Sinclair","Upton Sinclair, Jr., was a Pulitzer Prize-winning American  author who wrote over 90 books in many genres. He achieved popularity in the first half of the 20th century, acquiring particular fame for his 1906 muckraking novel The Jungle. It exposed conditions in the U.S. meat packing industry, causing a public uproar that contributed in part to the passage a few months later of the 1906 Pure Food and Drug Act and the Meat Inspection Act.
--Wikipedia","20 September 1878","25 November 1968","[{""url"": ""https://en.wikipedia.org/wiki/Upton_Sinclair"", ""title"": ""Wikipedia"", ""type"": {""key"": ""/type/link""}}, {""title"": ""inventaire.io"", ""url"": ""https://inventaire.io/entity/wd:Q216134"", ""type"": {""key"": ""/type/link""}}, {""title"": ""BookBrainz"", ""url"": ""https://bookbrainz.org/author/e306c952-4a3d-46b4-a032-712dd7a7d30a"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/2/21/Upton_Sinclair_LCCN2014686178_cropped2.tif
82,"Mary Shelley","Mary Wollstonecraft Shelley was a British novelist, short story writer, dramatist, essayist, biographer, and travel writer, best known for her Gothic novel Frankenstein: or, The Modern Prometheus (1818). She also edited and promoted the works of her husband, the Romantic poet and philosopher Percy Bysshe Shelley. Her father was the political philosopher  William Godwin, and her mother was the philosopher and feminist Mary Wollstonecraft. ([Source][1].)

[1]: https://en.wikipedia.org/wiki/Mary_Shelley","30 August 1797","1 February 1851","[{""title"": ""Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Mary_Shelley"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/b/b4/Mary_Wollstonecraft_Shelley_Rothwell.tif
83,"Fyodor Dostoevsky",none,none,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/7/78/Vasily_Perov_-_%D0%9F%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_%D0%A4.%D0%9C.%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_-_Google_Art_Project.jpg
84,"Alison Espach",none,none,none,"""none""",""
85,"Francis Scott Fitzgerald",none,none,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/8/87/F._Scott_Fitzgerald_%281929_photo_portrait_by_Nickolas_Muray%29_Cropped.jpg
86,"Johann Wolfgang von Goethe","Johann Wolfgang von Goethe was a German writer and polymath. Goethe's works span the fields of poetry, drama, literature, theology, philosophy, pantheism, and science. His magnum opus, lauded as one of the peaks of world literature, is the two-part drama Faust. Goethe's other well-known literary works include his numerous poems, the Bildungsroman Wilhelm Meister's Apprenticeship and the epistolary novel The Sorrows of Young Werther. <sup>[1][1]</sup>


  [1]: https://en.wikipedia.org/wiki/Johann_Wolfgang_von_Goethe","28 August 1749","22 March 1832","[{""title"": ""BookBrainz"", ""url"": ""https://bookbrainz.org/author/6ce2f2d2-8f06-4da9-bc20-107d30f4e333"", ""type"": {""key"": ""/type/link""}}, {""title"": ""inventaire.io"", ""url"": ""https://inventaire.io/entity/wd:Q5879"", ""type"": {""key"": ""/type/link""}}, {""title"": ""Johann Wolfgang von Goethe - Life and Work"", ""url"": ""https://love-books-review.com/reviews-by-author/johann-wolfgang-von-goethe/"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/0/0e/Goethe_%28Stieler_1828%29.jpg
