id,name,bio,birth_date,death_date,links,author_photo
87,Colette,"{'type': '/type/text', 'value': 'Sidonie-Gabrielle Colette was born in Saint-Sauveur-en-Puisaye, Yonne, in the Burgundy Region of France.  In 1893 she married Henri Gauthier-Villars, a famous wit known as ""Willy"", who was 15 years her senior.  Her first books, the Claudine series, were published under the pen name of her husband, ""Willy"".  In 1906 she left her husband and lived for a time with the American writer and salonist Natalie Barney.  The two had a short affair, and remained friends until Colette\'s death.  She then started working in the music halls of Paris with Mathilde de Morny, the Marquise de Belbeuf, with whom she became romantically involved.  In 1907, they performed together in a pantomime entitled Rêve d\'Égypte at the Moulin Rouge.  Their onstage kiss nearly caused a riot, which the police were called in to suppress.  As a result of this scandal, further performances of Rêve d\'Égypte were banned and Colette and de Morny were no longer able to openly live together, though their relationship continued a total of five years.  She was also involved with the Italian writer Gabriele D\'Annunzio during this time.  In 1912 she married Henri de Jouvenel, the editor of the newspaper Le Matin.  She had one daughter.  In 1914, she was asked to write a ballet for the Opéra de Paris, but the composer Maurice Ravel convinced her to rework it into an opera, L\'Enfant et les sortilèges, which opened after the war in 1925.  During World War I she converted her husband\'s estate into a hospital for the wounded.  After the war, her writing career became more successful after the publication of her novel Chéri (1920).  She divorced her husband after having an affair with her stepson.  She married Maurice Goudeket in 1935 and changed her name to Sidonie Goudeket.  Maurice Goudeket published a book about her called Close to Colette: An Intimate Portrait of a Woman of Genius.  She published around 50 novels in total, many with autobiographical elements.'}","28 January 1873","3 August 1954","[{""url"": ""https://www.nytimes.com/books/99/10/17/specials/colette-obit.html"", ""type"": {""key"": ""/type/link""}, ""title"": ""New York Times""}]",https://upload.wikimedia.org/wikipedia/commons/2/22/Colette_-_photo_Henri_Manuel.jpg
88,"Frank O'Connor","Frank O'Connor (born Michael Francis O'Donovan) was an Irish writer of over 150 works, best known for his short stories and memoirs. The Frank O'Connor International Short Story Award is named in his honor.","17 September 1903","10 March 1966","""none""",https://upload.wikimedia.org/wikipedia/en/f/fc/Frank_O%27Connor_Portrait.jpg
89,"Jack Finney","Walter Braden ""Jack"" Finney (born John Finney, October 2, 1911 – November 14, 1995) was an American author. His best-known works are science fiction and thrillers, including *The Body Snatchers* and *Time and Again*. The former was the basis for the 1956 film *Invasion of the Body Snatchers* and its remakes.

**Source**: [Jack Finney](https://en.wikipedia.org/wiki/Jack_Finney) on Wikipedia.","2 Oct 1911","14 Nov 1995","""none""",""
90,"Daniel Defoe","Daniel Defoe, born Daniel Foe, was an English writer, journalist, and pamphleteer, who gained enduring fame for his novel Robinson Crusoe. Defoe is notable for being one of the earliest proponents of the novel, as he helped to popularise the form in Britain, and is even referred to by some as among the founders of the English novel. A prolific and versatile writer, he wrote more than 500 books, pamphlets, and journals on various topics (including politics, crime, religion, marriage, psychology and the supernatural). He was also a pioneer of economic journalism. ([Source][1])


  [1]: http://en.wikipedia.org/wiki/Daniel_Defoe",1661?,"24 April 1731","""none""",https://upload.wikimedia.org/wikipedia/commons/a/a3/Daniel_Defoe_Kneller_Style.jpg
91,"David Herd",none,1732,"1810,","""none""",""
92,"Lucy Montgomery",none,1955,none,"""none""",""
93,"Isaac Asimov","Asimov was born sometime between October 4, 1919 and January 2, 1920 in Petrovichi in Smolensk Oblast, RSFSR (now Russia), the son of a Jewish family of millers.  Although his exact date of birth is uncertain, Asimov himself celebrated it on January 2.  His family emigrated to Brooklyn, New York and opened a candy store when he was three years old.  He taught himself to read at the age of five. He began reading the science fiction pulp magazines that his family's store carried. Around the age of eleven, he began to write his own stories, and by age nineteen, he was selling them to the science fiction magazines. He graduated from Columbia University in 1939. He married Gertrude Blugerman in 1942.  During World War II he worked as a civilian at the Philadelphia Navy Yard's Naval Air Experimental Station.  After the war, he returned to Columbia University and earned a Ph.D. in biochemistry in 1948.  He then joined the faculty of the Boston University School of Medicine until 1958, when he became a full-time writer. His first novel, [Pebble in the Sky](https://openlibrary.org/works/OL46402W), was published in 1950. He and his wife divorced in 1973, and he married Janet O. Jeppson the same year. He was a highly prolific writer, having written or edited more than 500 books and an estimated 9,000 letters and postcards.","2 January 1920","6 April 1992","[{""title"": ""French Wikip\u00e9dia Page"", ""url"": ""http://fr.wikipedia.org/wiki/Isaac_Asimov"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/3/34/Isaac.Asimov01.jpg
94,"Mario Vargas Llosa","Jorge Mario Pedro Vargas Llosa (Arequipa, 28 de marzo de 1936), conocido como Mario Vargas Llosa, es un escritor peruano que cuenta también con la nacionalidad española desde 1993. Considerado uno de los más importantes novelistas y ensayistas contemporáneos, sus obras han cosechado numerosos premios, entre los que destacan el Nobel de Literatura 2010, el Cervantes 1994 —considerado como el más importante en lengua española—, el Príncipe de Asturias de las Letras 1986, el Biblioteca Breve 1962, el Rómulo Gallegos 1967 y el Planeta 1993, entre otros.

Como escritor, alcanzó la fama en la década de 1960 con novelas como *La ciudad y los perros* (1963), *La casa verde* (1966) y *Conversación en La Catedral* (1969). Continuó escribiendo prolíficamente en varios géneros literarios, como el ensayo, el artículo y el teatro. Entre sus novelas destacan asimismo *La guerra del fin del mundo* (1981), o *La fiesta del Chivo* (2000).

----------

Mario Vargas Llosa is a Peruvian writer, journalist, essayist, college professor, and a former politician, who also holds Spanish citizenship. Vargas Llosa is one of Latin America's most significant novelists and essayists, and one of the leading writers of his generation. Some critics consider him to have had a larger international impact and worldwide audience than any other writer of the Latin American Boom. In 2010 he won the Nobel Prize in Literature, ""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat.""


Winner of the 2010 Nobel Prize in Literature, a Peruvian writer, politician, journalist, essayist.","28 March 1936",none,"[{""url"": ""https://es.wikipedia.org/wiki/Mario_Vargas_Llosa"", ""title"": ""Wikipedia (Espa\u00f1ol)"", ""type"": {""key"": ""/type/link""}}, {""url"": ""https://en.wikipedia.org/wiki/Mario_Vargas_Llosa"", ""title"": ""Wikipedia (English)"", ""type"": {""key"": ""/type/link""}}, {""url"": ""http://www.mvargasllosa.com/"", ""title"": ""Official Website"", ""type"": {""key"": ""/type/link""}}, {""title"": ""Britannica"", ""url"": ""https://www.britannica.com/biography/Mario-Vargas-Llosa"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/b/bf/Mario_Vargas_Llosa_%28crop_2%29.jpg
95,"Barbara Kingsolver","{'type': '/type/text', 'value': 'Barbara Kingsolver is an American novelist, essayist and poet.'}","8 April 1955",none,"""none""",https://upload.wikimedia.org/wikipedia/commons/5/59/Barbara_Kingsolver_%2848684513758%29_%28cropped%29.jpg
96,"Gillian Slovo",none,none,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/9/92/Gillian_Slovo_presenting_Golden_PEN_award.jpg
97,"Albert Camus","Albert Camus was a French Algerian author, philosopher, and journalist who was awarded the Nobel Prize for Literature in 1957. He was a key philosopher of the 20th-century and his most famous work is the novel *L'Étranger* (*The Stranger*).

In 1949, Camus founded the Group for International Liaisons within the Revolutionary Union Movement, which was a group opposed to some tendencies of the surrealistic movement of André Breton. Camus was the second-youngest recipient of the Nobel Prize for Literature - after Rudyard Kipling - when he became the first African-born writer to receive the award. He is the shortest-lived of any literature laureate to date, having died in an automobile accident just over two years after receiving the award.

He is often cited as a proponent of existentialism, the philosophy that he was associated with during his own lifetime, but Camus himself rejected this particular label. In an interview in 1945, Camus rejected any ideological associations: ""No, I am not an existentialist. Sartre and I are always surprised to see our names linked…""","7 November 1913","4 January 1960","[{""title"": ""Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Albert_Camus"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/0/08/Albert_Camus%2C_gagnant_de_prix_Nobel%2C_portrait_en_buste%2C_pos%C3%A9_au_bureau%2C_faisant_face_%C3%A0_gauche%2C_cigarette_de_tabagisme.jpg
98,"Paul Auster","Paul Benjamin Auster is an American author and director whose writing blends absurdism, existentialism, crime fiction, and the search for identity and personal meaning in works such as The New York Trilogy (1987), Moon Palace (1989), The Music of Chance (1990), The Book of Illusions (2002), and The Brooklyn Follies (2005). His books have been translated into more than forty languages.
Source: Wikipedia","3 February 1947",none,"""none""",https://upload.wikimedia.org/wikipedia/commons/e/e4/Paul_Auster_BBF_2010_Shankbone.jpg
99,"James Matthew Barrie",none,none,none,"""none""",""
100,"Jack London","John Griffith London (born John Griffith Chaney; January 12, 1876 – November 22, 1916) was an American novelist, journalist, and social activist. A pioneer in the world of commercial magazine fiction, he was one of the first writers to become a worldwide celebrity and earn a large fortune from writing. He was also an innovator in the genre that would later become known as science fiction.

His most famous works include *The Call of the Wild* and *White Fang*, both set in the Klondike Gold Rush, as well as the short stories ""To Build a Fire"", ""An Odyssey of the North"", and ""Love of Life"". He also wrote about the South Pacific in stories such as ""The Pearls of Parlay"", and ""The Heathen"".

London was part of the radical literary group ""The Crowd"" in San Francisco and a passionate advocate of unionization, workers' rights, socialism, and eugenics. He wrote several works dealing with these topics, such as his dystopian novel The Iron Heel, his non-fiction exposé *The People of the Abyss*, *The War of the Classes*, and *Before Adam*.

**Source**: [Jack London](https://en.wikipedia.org/wiki/Jack_London) on Wikipedia.","12 January 1876","22 November 1916","[{""title"": ""Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Jack_London"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/2/2d/Jack_London_young.jpg
101,"John Clellon Holmes",none,1926,1988,"""none""",""
102,"William Kent Krueger",none,1950,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/4/4c/William_Kent_Krueger_at_Common_Good_Books_-_cropped.jpg
103,"L. Frank Baum","{'type': '/type/text', 'value': ""Lyman Frank Baum was a US author, poet, playwright, actor, and independent filmmaker best known today as the creator - along with illustrator WW Denslow - of one of the most popular books in US children's literature, The Wonderful Wizard of Oz. - [Wikipedia][1]\r\n\r\n\r\n  [1]: http://en.wikipedia.org/wiki/L._Frank_Baum""}","15 May 1856","6 May 1919","[{""title"": ""Wikipedia entry"", ""url"": ""http://en.wikipedia.org/wiki/L._Frank_Baum"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/6/69/L._Frank_Baum_%281911%29.jpg
104,"Rebecca Ross",none,none,none,"""none""",""
105,"Ismail Kadare",none,1936,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/2/24/Ismail_Kadare_%28portret%29.jpg
106,"Ayn Rand","Alice O'Connor (born Alisa Zinovyevna Rosenbaum;[a] February 2, [O.S. January 20] 1905 – March 6, 1982), better known by her pen name Ayn Rand (/aɪn/), was a Russian-American writer and philosopher. She is known for her fiction and for developing a philosophical system she named Objectivism. Born and educated in Russia, she moved to the United States in 1926. She wrote a play that opened on Broadway in 1935. After two early novels that were initially unsuccessful, she achieved fame with her 1943 novel, The Fountainhead. In 1957, Rand published her best-known work, the novel Atlas Shrugged. Afterward, until her death in 1982, she turned to non-fiction to promote her philosophy, publishing her own periodicals and releasing several collections of essays.

Rand advocated reason as the only means of acquiring knowledge; she rejected faith and religion. She supported rational and ethical egoism and rejected altruism. In politics, she condemned the initiation of force as immoral[5][6] and opposed collectivism, statism, and anarchism. Instead, she supported laissez-faire capitalism, which she defined as the system based on recognizing individual rights, including property rights. Although Rand opposed libertarianism, which she viewed as anarchism, she is often associated with the modern libertarian movement. In art, Rand promoted romantic realism. She was sharply critical of most philosophers and philosophical traditions known to her, except for Aristotle, Thomas Aquinas and classical liberals.

Rand's fiction received mixed reviews from literary critics.[ Although academic interest in her ideas has grown since her death, academic philosophers have generally ignored or rejected her philosophy because of her polemical approach and lack of methodological rigor.[4] Her writings have influenced some libertarians and conservatives politically. The Objectivist movement attempts to spread her ideas, both to the public and in academic settings","February 2, 1905","March 6, 1982","[{""url"": ""http://en.wikipedia.org/wiki/Ayn_rand"", ""title"": ""Wikipedia"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/b/b1/Ayn_Rand_%281943_Talbot_portrait%29.jpg
107,"Chaim Potok","{'type': '/type/text', 'value': 'Chaim Potok (February 17, 1929 – July 23, 2002) was an American author, novelist, playwright, editor and rabbi. Of the more than dozen novels he authored, his first book The Chosen (1967), was listed on The New York Times’ bestseller list for 39 weeks and sold more than 3,400,000 copies and which was adapted into a well-received 1981 feature film by the same title.'}",1929,2002,"""none""",https://upload.wikimedia.org/wikipedia/commons/4/42/Chaim_Potok.jpg
108,"Herman Melville","{'type': '/type/text', 'value': 'Herman Melville was an American novelist, short story writer, essayist and poet who is often classified as part of dark romanticism. He is best known for his novel Moby-Dick and novella Billy Budd, the latter of which was published posthumously. ([Source][1].)\r\n\r\n[1]:http://en.wikipedia.org/wiki/Herman_Melville'}","1 August 1819","28 September 1891","""none""",https://upload.wikimedia.org/wikipedia/commons/e/e8/Herman_Melville_by_Joseph_O_Eaton.jpg
109,"Jack Kerouac","{'type': '/type/text', 'value': 'Jack Kerouac was an American novelist and poet of French-Canadian ancestry.\r\n\r\nHe is considered a literary iconoclast and, alongside William S. Burroughs and Allen Ginsberg, a pioneer of the Beat Generation Kerouac is recognized for his method of spontaneous prose. Thematically, his work covers topics such as Catholic spirituality, jazz, promiscuity, Buddhism, drugs, poverty, and travel. He became an underground celebrity and, with other beats, a progenitor of the hippie movement, although he remained antagonistic toward some of its politically radical elements.'}","12 March 1922","21 October 1969","[{""title"": ""Wikipedia entry"", ""url"": ""http://en.wikipedia.org/wiki/Jack_Kerouac"", ""type"": {""key"": ""/type/link""}}, {""title"": ""Official website (Jack Kerouac Estate)"", ""url"": ""https://jackkerouac.com/"", ""type"": {""key"": ""/type/link""}}, {""title"": ""Encyclop\u00e6dia Britannica"", ""url"": ""https://www.britannica.com/biography/Jack-Kerouac"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/3/37/Kerouac_by_Palumbo_2_%28cropped%29.png
110,"Abdulrazak Gurnah","{'type': '/type/text', 'value': 'Abdulrazak Gurnah FRSL (born 20 December 1948) is a Tanzanian-born British novelist and academic. He was born in the Sultanate of Zanzibar and moved to the United Kingdom in the 1960s as a refugee during the Zanzibar Revolution. His novels include Paradise (1994), which was shortlisted for both the Booker and the Whitbread Prize; Desertion (2005); and By the Sea (2001), which was longlisted for the Booker and shortlisted for the Los Angeles Times Book Prize.\r\n\r\nGurnah was awarded the 2021 Nobel Prize in Literature ""for his uncompromising and compassionate penetration of the effects of colonialism and the fates of the refugee in the gulf between cultures and continents"". He is Emeritus Professor of English and Postcolonial Literatures at the University of Kent. [source](https://en.wikipedia.org/wiki/Abdulrazak_Gurnah)'}","20 December 1948",none,"""none""",https://upload.wikimedia.org/wikipedia/commons/2/21/%E0%A6%97%E0%A7%81%E0%A6%B0%E0%A6%A8%E0%A6%BE%E0%A6%B9-%E0%A6%A2%E0%A6%BE%E0%A6%95%E0%A6%BE-%E0%A7%A8%E0%A7%A6%E0%A7%A8%E0%A7%A9.JPG
111,"Jacob Burckhardt","{'type': '/type/text', 'value': 'Jacob Burckhardt was born in Basel, Switzerland, the son of a Protestant clergyman. He studied theology in Basel and in Neuchâtel. In 1839, having lost his faith, he moved to the University of Berlin to study art history. He spent part of 1841 at the University of Bonn studying under the art historian Franz Kugler. His first book, Die Kunstwerke der belgischen Städte, was published in 1842. He taught at the University of Basel from 1843 to 1855, then at ETH, the engineering school in Zurich. In 1858, he joined the faculty at the University of Basel until his 1893 retirement. In 1886 did started teaching art history exclusively. He is known as one of the founders of the field of cultural history.'}","25 May 1818","8 August 1897","""none""",https://upload.wikimedia.org/wikipedia/commons/2/20/Jacburc2.gif
112,"Edith Wharton","Edith Wharton was a Pulitzer Prize-winning American novelist, short story writer and designer.

*The Age of Innocence* (1920) won the 1921 Pulitzer Prize for literature, making her the first woman to win the award. She spoke fluent French as well as several other languages and many of her books were published in both French and English. ([Source][1])


  [1]: http://en.wikipedia.org/wiki/Edith_Wharton","24 January 1862","11 August 1937","[{""title"": ""Edith Wharton Collection at ale University Beinecke Rare Books & Manuscript Library"", ""url"": ""http://beinecke.library.yale.edu/collections/highlights/edith-wharton-collection"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/5/52/Edith_Newbold_Jones_Wharton_%28cropped_02%29.jpg
113,"Milan Kundera",none,1929,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/8/87/Milan_Kundera_redux.jpg
114,"Lee Child","{'type': '/type/text', 'value': 'Lee Child was born in 1954 in Coventry, England, but spent his formative years in the nearby city of Birmingham. He went to law school in Sheffield, England, and after part-time work in the theater he joined Granada Television in Manchester for what turned out to be an eighteen-year career as a presentation director during British TV\'s ""golden age."" During his tenure his company made Brideshead Revisited, The Jewel in the Crown, Prime Suspect, and Cracker. He was fired in 1995 at the age of 40 as a result of corporate restructuring. Always a voracious reader, he decided to see an opportunity where others might have seen a crisis and bought six dollars\' worth of paper and pencils and sat down to write a book, Killing Floor, the first in the (now 15 book) Jack Reacher series.\r\n\r\n-- from leechild.com'}",1954,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/e/ee/Lee_Child%2C_Bouchercon_2010.jpg
116,"Chris Whitaker",none,none,none,"""none""",""
117,"James Fenimore Cooper","James Fenimore Cooper was a prolific and popular American writer of the early 19th century. He is best remembered as a novelist who wrote numerous sea-stories and the historical novels known as the Leatherstocking Tales, featuring frontiersman Natty Bumppo. Among his most famous works is the Romantic novel [*The Last of the Mohicans*][1], often regarded as his masterpiece.

([Source][2])


  [1]: http://openlibrary.org/works/OL77958W/The_last_of_the_Mohicans
  [2]: http://en.wikipedia.org/wiki/James_Fenimore_Cooper","15 September 1789","14 September 1851","[{""title"": ""Wikipedia entry"", ""url"": ""http://en.wikipedia.org/wiki/James_Fenimore_Cooper"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/9/9f/James_Fenimore_Cooper_by_Brady.jpg
118,"Franz Kafka","Franz Kafka is one of the most important and influential fiction writers of the early 20th century; a novelist and writer of short stories whose works, only after his death, came to be regarded as one of the major achievements of 20th century literature. ([Source][1].)

[1]:https://en.wikipedia.org/wiki/Franz_Kafka","3 July 1883","3 June 1924","[{""title"": ""BookBrainz"", ""url"": ""https://bookbrainz.org/author/542245f2-a6ec-4ee8-913d-c4ec4c19252a"", ""type"": {""key"": ""/type/link""}}, {""title"": ""inventaire.io"", ""url"": ""https://inventaire.io/entity/wd:Q905"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/2/26/Franz_Kafka%2C_1923.jpg
119,"Knut Hamsun","Norwegian writer, Nobel Prize winner in 1920.",1859,1952,"""none""",https://upload.wikimedia.org/wikipedia/commons/4/41/Hamsun_bldsa_HA0341.jpg
120,"Alvin Toffler","American writer and futurist",1928,2016,"""none""",https://upload.wikimedia.org/wikipedia/commons/e/e1/Alvin_Toffler_02.jpg
121,"J. R. R. Tolkien",none,1892,1973,"""none""",https://upload.wikimedia.org/wikipedia/commons/d/d4/J._R._R._Tolkien%2C_ca._1925.jpg
122,"Leo Tolstoy",none,1955,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/1/1c/L._N._Tolstoy%2C_by_Prokudin-Gorsky_%28cropped%29.jpg
123,"Shelby Van Pelt",none,none,none,"""none""",""
124,"James M. Cain",none,1892,1977,"""none""",https://upload.wikimedia.org/wikipedia/commons/0/08/James-M.-Cain-1938.jpg
125,"Liza Marklund",none,1962,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/3/3a/A_26_0196_%289725646251%29.jpg
126,"Jeremiah Curtin",none,1835,1906,"""none""",https://upload.wikimedia.org/wikipedia/commons/b/b1/Curtin_Jeremaiah_Bealoides%281942%29.png
127,"David Constantine","{'type': '/type/text', 'value': 'Winner of the UK National Short Story award, 2010.'}",1944,none,"[{""url"": ""http://www.guardian.co.uk/books/2010/nov/29/national-short-story-award-david-constantine"", ""type"": {""key"": ""/type/link""}, ""title"": ""The Guardian article re: 2010 National Short Story award""}]",https://upload.wikimedia.org/wikipedia/commons/2/23/David_Constantine_at_Durham_Book_Festival.jpg
128,"Gena Showalter",none,none,none,"""none""",""
129,"Nicholas Frankel",none,none,none,"""none""",""
130,"Ian Sansom",none,none,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/7/70/Ian_Sansom_.jpg
131,"Jeff Rovin",none,"5 Nov 1951",none,"[{""url"": ""http://id.loc.gov/authorities/names/n79039843.html"", ""title"": ""LCAuth"", ""type"": {""key"": ""/type/link""}}, {""url"": ""https://viaf.org/viaf/29640123/"", ""title"": ""VIAF"", ""type"": {""key"": ""/type/link""}}, {""title"": ""Wikidata"", ""url"": ""https://www.wikidata.org/entity/Q571334"", ""type"": {""key"": ""/type/link""}}, {""title"": ""ISNI"", ""url"": ""http://isni.org/isni/0000000081086512"", ""type"": {""key"": ""/type/link""}}]",""
132,"Stephen King","Stephen Edwin King (born September 21, 1947) is an American author of horror, supernatural fiction, suspense, crime, science-fiction, and fantasy novels. His books have sold more than 350 million copies, and many have been adapted into films, television series, miniseries, and comic books. King has published 63 novels, including seven under the pen name Richard Bachman, and five non-fiction books. He has also written approximately 200 short stories, most of which have been published in book collections.

King has received Bram Stoker Awards, World Fantasy Awards, and British Fantasy Society Awards. In 2003, the National Book Foundation awarded him the Medal for Distinguished Contribution to American Letters. He has also received awards for his contribution to literature for his entire bibliography, such as the 2004 World Fantasy Award for Life Achievement and the 2007 Grand Master Award from the Mystery Writers of America. In 2015, he was awarded with a National Medal of Arts from the U.S. National Endowment for the Arts for his contributions to literature. He has been described as the ""King of Horror"", a play on his surname and a reference to his high standing in pop culture.","September 21, 1947",none,"[{""title"": ""Stephen King's Official Web Site"", ""url"": ""http://www.stephenking.com"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/2/24/Stephen_King_at_the_2024_Toronto_International_Film_Festival_2_%28cropped%29.jpg
133,"Alain Robbe-Grillet",none,1922,2008,"""none""",https://upload.wikimedia.org/wikipedia/commons/6/69/Alain_Robbe-Grillet_%28cropped%29.jpg
134,"Virgina Woolf",none,none,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/0/0b/George_Charles_Beresford_-_Virginia_Woolf_in_1902_-_Restoration.jpg
135,"Charles Dickens","Charles Dickens, was the most popular English novelist of the Victorian era, and one of the most popular of all time. He created some of literature's most iconic characters, with the theme of social reform running throughout his work. The continuing popularity of his novels and short stories is such that they have never gone out of print. ([Source][1].)

[1]:http://en.wikipedia.org/wiki/Charles_Dickens","7 February 1812","9 June 1870","""none""",https://upload.wikimedia.org/wikipedia/commons/a/aa/Dickens_Gurney_head.jpg
136,"Viktor Pelevin",none,none,none,"""none""",""
137,"Karen Traviss","British science fiction author. Karen Traviss is a science fiction author from Wiltshire, England. She is the author of the Wess'Har series, and is also known for writing tie-in material based on Star Wars, Gears of War, Halo, and G.I. Joe. Her work crosses various forms of media including novels, short stories, comics, and video games.",2000,none,"[{""url"": ""https://en.wikipedia.org/wiki/Karen_Traviss"", ""title"": ""Wikipedia"", ""type"": {""key"": ""/type/link""}}]",""
138,"Agatha Christie","{'type': '/type/text', 'value': 'Agatha Mary Clarissa Miller was born in Torquay, Devon, in the United Kingdom, the daughter of a wealthy American stockbroker. Her father died when she was eleven years old. Her mother taught her at home, encouraging her to write at a very young age. At the age of 16, she went to Mrs. Dryden\'s finishing school in Paris to study singing and piano. In 1914, at age 24, she married Colonel Archibald Christie, an aviator in the Royal Flying Corps. While he went away to war, she worked as a nurse and wrote her first novel, The Mysterious Affair at Styles (1920), which wasn\'t published until four years later. When her husband came back from the war, they had a daughter. In 1928 she divorced her husband, who had been having an affair. In 1930, she married Sir Max Mallowan, an archaeologist and a Catholic. She was happy in the early years of her second marriage, and did not divorce her husband despite his many affairs. She travelled with her husband\'s job, and set several of her novels set in the Middle East. Most of her other novels were set in a fictionalized Devon, where she was born.\r\n\r\nAgatha Christie is credited with developing the ""cozy style"" of mystery, which became popular in, and ultimately defined, the Golden Age of fiction in England in the 1920s and \'30s, an age of which she is considered to have been Queen. In all, she wrote over 66 novels, numerous short stories and screenplays, and a series of romantic novels using the pen name Mary Westmacott. She was the single most popular mystery writer of all time. In 1971 she was made a Dame Commander of the Order of the British Empire.'}","15 September 1890","12 January 1976","[{""title"": ""Agatha Christie 120"", ""url"": ""http://www.agathachristie.com/about-christie/the-queen-of-crime/120-year-anniversary/"", ""type"": {""key"": ""/type/link""}}, {""url"": ""http://www.agathachristie.com/"", ""title"": ""Website"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/c/cf/Agatha_Christie.png
139,"Mary Wollstonecraft Shelley",none,none,none,"""none""",https://upload.wikimedia.org/wikipedia/commons/3/36/Mary_Wollstonecraft_by_John_Opie_%28c._1797%29.jpg
140,"Stefan Zweig","Stefan Zweig (28 November 1881 – 22 February 1942) was an Austrian novelist, playwright, journalist and biographer. At the height of his literary career, in the 1920s and 1930s, he was one of the most popular writers in the world.

**Source**: [Stefan Zweig](https://en.wikipedia.org/wiki/Stefan_Zweig) on Wikipedia.","28 November 1881","22 February 1942","[{""url"": ""https://en.wikipedia.org/wiki/Stefan_Zweig"", ""title"": ""Wikipedia"", ""type"": {""key"": ""/type/link""}}, {""url"": ""https://bookbrainz.org/author/7b831345-4ef3-4156-8bb7-9091ca197073"", ""title"": ""BookBrainz"", ""type"": {""key"": ""/type/link""}}, {""title"": ""inventaire.io"", ""url"": ""https://inventaire.io/entity/wd:Q78491"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/4/4e/Stefan_Zweig2.png
141,"Theodore Dreiser",none,1871,1945,"[{""title"": ""Wikipedia"", ""url"": ""https://en.wikipedia.org/wiki/Theodore_Dreiser"", ""type"": {""key"": ""/type/link""}}]",https://upload.wikimedia.org/wikipedia/commons/5/5a/Theodore_Dreiser.jpg
142,"Mai Corland",none,none,none,"""none""",""
